"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2026","4,166.10","4,081.17","4,166.10","4,076.98","","2.09%"
"07/21/2026","4,080.96","4,010.30","4,087.00","3,999.48","","1.86%"
"07/20/2026","4,006.31","4,003.71","4,040.56","3,982.51","","-0.28%"
"07/17/2026","4,017.60","3,972.95","4,024.22","3,959.69","","1.12%"
"07/16/2026","3,972.94","4,058.80","4,070.06","3,969.15","","-2.19%"
"07/15/2026","4,062.06","4,055.47","4,080.83","4,017.30","","0.16%"
"07/14/2026","4,055.53","4,006.00","4,100.75","3,984.45","","1.34%"
"07/13/2026","4,001.84","4,122.63","4,122.63","3,986.37","","-2.89%"
"07/10/2026","4,121.08","4,121.62","4,136.23","4,072.45","","-0.01%"
"07/09/2026","4,121.62","4,076.56","4,138.38","4,054.04","","1.07%"
"07/08/2026","4,077.95","4,107.82","4,134.39","4,021.76","","-0.72%"
"07/07/2026","4,107.32","4,166.99","4,183.27","4,092.02","","-1.39%"
"07/06/2026","4,165.17","4,175.71","4,202.67","4,128.19","","-0.25%"
"07/03/2026","4,175.70","4,124.00","4,195.54","4,120.92","","1.25%"
"07/02/2026","4,123.98","4,031.04","4,144.22","4,030.38","","2.31%"
"07/01/2026","4,031.04","4,008.49","4,115.55","3,960.10","","0.56%"
"06/30/2026","4,008.48","4,017.59","4,064.81","3,944.23","","-0.23%"
"06/29/2026","4,017.57","4,089.66","4,093.68","4,001.30","","-1.75%"
"06/26/2026","4,089.26","4,027.57","4,097.94","3,982.83","","1.53%"
"06/25/2026","4,027.56","4,000.71","4,044.59","3,962.78","","0.67%"
"06/24/2026","4,000.69","4,113.08","4,115.26","3,959.38","","-2.67%"
"06/23/2026","4,110.26","4,191.63","4,202.55","4,090.75","","-1.94%"
"06/22/2026","4,191.62","4,143.61","4,220.82","4,136.30","","0.75%"
"06/19/2026","4,160.26","4,210.05","4,213.66","4,120.89","","-1.18%"
"06/18/2026","4,210.09","4,258.87","4,330.39","4,201.40","","-1.15%"
"06/17/2026","4,258.86","4,334.03","4,382.85","4,219.05","","-1.67%"
"06/16/2026","4,331.31","4,308.12","4,355.35","4,303.45","","0.51%"
"06/15/2026","4,309.34","4,222.50","4,372.86","4,219.33","","2.13%"
"06/12/2026","4,219.32","4,215.13","4,246.53","4,170.02","","0.10%"
"06/11/2026","4,215.12","4,075.10","4,220.25","4,023.55","","3.44%"
"06/10/2026","4,075.08","4,255.70","4,258.29","4,066.86","","-4.43%"
"06/09/2026","4,264.15","4,331.26","4,363.50","4,236.61","","-1.52%"
"06/08/2026","4,329.85","4,332.21","4,353.62","4,268.99","","0.01%"
"06/05/2026","4,329.33","4,476.24","4,482.02","4,311.41","","-3.26%"
"06/04/2026","4,475.43","4,442.83","4,515.55","4,423.79","","0.92%"
"06/03/2026","4,434.42","4,489.18","4,500.71","4,426.10","","-1.20%"
"06/02/2026","4,488.09","4,487.30","4,541.82","4,462.78","","0.07%"
"06/01/2026","4,485.15","4,521.91","4,546.44","4,447.12","","-1.19%"
"05/29/2026","4,539.27","4,494.94","4,595.31","4,488.68","","0.99%"
"05/28/2026","4,494.93","4,456.22","4,516.99","4,366.41","","0.82%"
"05/27/2026","4,458.21","4,507.52","4,538.55","4,401.45","","-1.09%"
"05/26/2026","4,507.51","4,573.40","4,581.35","4,482.64","","-1.39%"
"05/25/2026","4,571.16","4,542.00","4,582.34","4,535.99","","1.37%"
"05/22/2026","4,509.38","4,542.41","4,552.77","4,491.79","","-0.79%"
"05/21/2026","4,545.18","4,544.30","4,572.71","4,489.59","","0.00%"
"05/20/2026","4,545.16","4,482.18","4,552.78","4,453.12","","1.40%"
"05/19/2026","4,482.46","4,567.63","4,589.76","4,465.34","","-1.86%"
